date,league,t1,t2,bet_type,bet_line,ROI,fair_odds,odds,House,url,status,telegram,resultado,profit
28 Mai 2025 13:00,LFL,Gentle Mates,BK ROG Esports,under,total_kills 28.5,18.33%,1.55,1.83,BET365,url não disponível,win,1,1,0.83
28 Mai 2025 13:00,LFL,Gentle Mates,BK ROG Esports,over,game_duration 34.5,10.08%,1.66,1.83,BET365,url não disponível,win,1,1,0.83
28 Mai 2025 13:00,LFL,Gentle Mates,BK ROG Esports,over,total_barons 1.5,33.55%,2.62,3.5,BET365,url não disponível,win,1,1,2.5
27 Mai 2025 10:00,VCS,Saigon Dino,Mila Gaming,over,total_dragons 4.5,10.27%,2.15,2.37,BET365,url não disponível,loss,1,1,-1.0
27 Mai 2025 10:00,VCS,Saigon Dino,Mila Gaming,under,total_inhibitors 1.5,18.75%,1.6,1.9,BET365,url não disponível,loss,1,1,-1.0
27 Mai 2025 07:00,VCS,Saigon Secret,GenZ Gaming,over,total_dragons 4.5,13.03%,1.62,1.83,BET365,url não disponível,loss,1,1,-1.0
27 Mai 2025 07:00,VCS,Saigon Secret,GenZ Gaming,over,total_towers 12.5,11.29%,1.55,1.72,BET365,url não disponível,win,1,1,0.72
27 Mai 2025 07:00,VCS,Saigon Secret,GenZ Gaming,over,total_kills 35.5,18.41%,1.55,1.83,BET365,url não disponível,win,1,1,0.83
27 Mai 2025 07:00,VCS,Saigon Secret,GenZ Gaming,over,game_duration 31.5,18.41%,1.55,1.83,BET365,url não disponível,loss,1,1,-1.0
27 Mai 2025 07:00,VCS,Saigon Secret,GenZ Gaming,over,total_inhibitors 1.5,16.47%,1.55,1.8,BET365,url não disponível,win,1,1,0.8
27 Mai 2025 07:00,VCS,Saigon Secret,GenZ Gaming,over,total_barons 1.5,11.76%,3.58,4.0,BET365,url não disponível,loss,1,1,-1.0
27 Mai 2025 08:00,VCS,Team Flash,SN CyberCore Esports,under,total_dragons 4.5,12.88%,1.86,2.1,BET365,url não disponível,win,1,1,1.1
27 Mai 2025 08:00,VCS,Team Flash,SN CyberCore Esports,under,game_duration 32.5,14.38%,1.6,1.83,BET365,url não disponível,win,1,1,0.83
27 Mai 2025 08:00,VCS,Team Flash,SN CyberCore Esports,under,total_inhibitors 1.5,18.95%,1.54,1.83,BET365,url não disponível,win,1,1,0.83
27 Mai 2025 08:00,VCS,Team Flash,SN CyberCore Esports,under,total_barons 1.5,15.63%,1.08,1.25,BET365,url não disponível,win,1,1,0.25
29 Mai 2025 07:00,LCK,KT Rolster,Gen.G,under,game_duration 31.5,14.38%,1.6,1.83,BET365,url não disponível,win,1,1,0.83
29 Mai 2025 07:00,LCK,KT Rolster,Gen.G,under,total_inhibitors 1.5,32.67%,1.38,1.83,BET365,url não disponível,win,1,1,0.83
28 Mai 2025 07:00,VCS,Saigon Secret,Saigon Dino,under,total_inhibitors 1.5,10.34%,1.66,1.83,BET365,url não disponível,loss,1,1,-1.0
